number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_epochs,params_l2,params_lr,params_n_layers,params_units1,params_units2,params_units3,state
0,0.9119974167199665,2026-02-06 21:01:05.366008,2026-02-06 21:34:08.995405,0 days 00:33:03.629397,256,0.12020838819909643,30,1.951722464144948e-08,0.00018408992080552527,2,256,192,160,COMPLETE
1,0.9121821243999587,2026-02-06 21:34:09.010495,2026-02-06 21:45:29.851981,0 days 00:11:20.841486,512,0.186909009331792,17,1.4445251022763048e-06,0.0007790143126276247,3,96,64,64,COMPLETE
2,0.9118369945541263,2026-02-06 21:45:29.862937,2026-02-06 21:55:37.725824,0 days 00:10:07.862887,2048,0.3165865559879191,26,1.0907475835157686e-05,0.00011992724522955161,2,224,64,160,COMPLETE
3,0.91179767208451,2026-02-06 21:55:37.729427,2026-02-06 22:09:53.995762,0 days 00:14:16.266335,256,0.10491720568015048,20,1.4857392806279217e-08,0.00069389014127394,1,64,192,128,COMPLETE
4,0.9115327731040695,2026-02-06 22:09:54.009410,2026-02-06 22:27:41.481742,0 days 00:17:47.472332,256,0.4727745237038851,16,9.761125443110447e-06,0.00331348361550895,2,96,256,224,COMPLETE
5,0.9121576571424684,2026-02-06 22:27:41.484223,2026-02-06 22:36:37.569387,0 days 00:08:56.085164,1024,0.17642052935932134,14,5.0654860639753365e-08,0.0008356499023325525,2,96,224,96,COMPLETE
6,0.9126214007043207,2026-02-06 22:36:37.572308,2026-02-06 22:38:26.994538,0 days 00:01:49.422230,512,0.39707165600867556,11,6.199100007802264e-07,0.00013359790328445562,1,224,192,192,PRUNED
7,0.9127821174866334,2026-02-06 22:38:26.997419,2026-02-06 22:39:53.570254,0 days 00:01:26.572835,2048,0.44924573415934693,20,3.962517832572335e-08,0.0006342770438858341,1,128,192,192,PRUNED
8,0.9129438287197298,2026-02-06 22:39:53.575016,2026-02-06 22:42:57.155091,0 days 00:03:03.580075,512,0.06414313355903041,25,3.730610475453584e-07,0.0012057081573389123,2,128,32,32,PRUNED
9,0.9125188765982033,2026-02-06 22:42:57.160098,2026-02-06 22:43:29.256102,0 days 00:00:32.096004,2048,0.4683639435541579,21,1.4689898077648787e-05,0.0023603276001278087,1,64,96,64,PRUNED
10,0.9124543353975848,2026-02-06 22:43:29.260645,2026-02-06 22:45:24.569079,0 days 00:01:55.308434,512,0.22874408436400795,16,0.0006292942010319482,0.0003240787974985744,3,160,128,32,PRUNED
11,0.9121272689699846,2026-02-06 22:45:24.573338,2026-02-06 22:53:20.282303,0 days 00:07:55.708965,1024,0.19423896867369267,10,3.903293879717574e-07,0.0014368677016346678,3,96,256,96,COMPLETE
12,0.9119798527369379,2026-02-06 22:53:20.285895,2026-02-06 23:06:02.005865,0 days 00:12:41.719970,1024,0.17438509762086957,15,0.00013727543539424007,0.00037557326864134206,3,128,128,96,COMPLETE
13,0.9121682595222922,2026-02-06 23:06:02.010547,2026-02-06 23:15:02.282149,0 days 00:09:00.271602,1024,0.28249393116687616,13,1.1837689755924498e-07,0.0012182459284804427,3,96,32,96,COMPLETE
14,0.9128515010960122,2026-02-06 23:15:02.286287,2026-02-06 23:16:57.204128,0 days 00:01:54.917841,512,0.30524416177286023,13,1.7563609194573826e-06,0.0018922070821124548,3,160,32,64,PRUNED
