number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9223872254717966,2026-02-06 12:49:21.322415,2026-02-06 12:51:27.528927,0 days 00:02:06.206512,0.6232334448672797,0.046187109390049115,8,48,0.07080725777960455,937,155,0.6245760287469893,0.002570603566117598,0.662397808134481,COMPLETE
1,0.9216261340249066,2026-02-06 12:51:27.531071,2026-02-06 12:52:09.943744,0 days 00:00:42.412673,0.7216968971838151,0.04763628595029446,5,52,0.029122914019804193,618,172,0.00052821153945323,7.71800699380605e-05,0.6733618039413735,COMPLETE
2,0.9204488114137426,2026-02-06 12:52:09.946452,2026-02-06 12:54:37.845007,0 days 00:02:27.898555,0.6798695128633439,0.012517051076140219,6,102,0.0046450412719997725,1151,80,0.00042472707398058225,0.0021465011216654484,0.9140703845572055,COMPLETE
3,0.921850721750683,2026-02-06 12:54:37.850126,2026-02-06 12:58:27.729218,0 days 00:03:49.879092,0.7218455076693483,0.013158041368516622,12,194,0.04401524937396013,1147,42,7.569183361880229e-08,0.014391207615728067,0.9233589392465844,COMPLETE
4,0.9213926724599654,2026-02-06 12:58:27.732210,2026-02-06 12:59:39.314426,0 days 00:01:11.582216,0.7246844304357644,0.022187777750487168,12,66,0.018485445552552705,709,36,0.0004793052550782129,0.0008325158565947976,0.8650089137415928,COMPLETE
5,0.9213191155659916,2026-02-06 12:59:39.317223,2026-02-06 13:03:02.619423,0 days 00:03:23.302200,0.6353970008207678,0.03481726018270459,11,128,0.032533033076326434,1473,190,5.805581976088804e-07,2.5529693461039728e-08,0.9687496940092467,COMPLETE
6,0.9204971150865339,2026-02-06 13:03:02.622361,2026-02-06 13:04:41.962409,0 days 00:01:39.340048,0.6563696899899051,0.01547621783234564,6,70,0.09868869366005173,950,171,0.16587190283399655,4.6876566400928895e-08,0.8170784332632994,COMPLETE
7,0.9209779963309821,2026-02-06 13:04:41.964936,2026-02-06 13:06:28.583247,0 days 00:01:46.618311,0.9085081386743783,0.01376880663211161,11,147,0.011586905952512973,1295,31,4.638759594322625e-08,1.683416412018213e-05,0.8916028672163949,COMPLETE
8,0.9196001081479313,2026-02-06 13:06:28.586398,2026-02-06 13:07:31.667259,0 days 00:01:03.080861,0.8918424713352255,0.027268841927738523,3,76,0.04722149251619493,1377,87,0.005470376807480391,0.9658611176861268,0.7300733288106989,COMPLETE
9,0.9221555529166915,2026-02-06 13:07:31.670127,2026-02-06 13:09:47.911072,0 days 00:02:16.240945,0.8090931317527976,0.0315164078516137,8,159,0.010789142699330446,707,160,7.04480806377519e-05,1.6934490731313353e-08,0.7975182385457563,COMPLETE
10,0.9224353256095104,2026-02-06 13:09:47.913401,2026-02-06 13:11:38.936900,0 days 00:01:51.023499,0.9839082983781678,0.04487893642663976,9,22,0.07384055447250207,937,131,6.099006535330827,3.331630946893803,0.6154900799844731,COMPLETE
11,0.9227303251251919,2026-02-06 13:11:38.939206,2026-02-06 13:13:15.283457,0 days 00:01:36.344251,0.996380128364447,0.04582396072565211,9,23,0.07808078155721443,911,134,9.783060807367624,3.5232309958517125,0.6047606839380596,COMPLETE
12,0.922612507009626,2026-02-06 13:13:15.285545,2026-02-06 13:14:58.471728,0 days 00:01:43.186183,0.9968147883372204,0.038391753754578234,9,24,0.0715056490578781,861,123,9.207649642482194,8.034080399870295,0.6134343539737889,COMPLETE
13,0.9217504913258485,2026-02-06 13:14:58.474096,2026-02-06 13:16:46.784786,0 days 00:01:48.310690,0.9948046416005474,0.01956220452950156,10,24,0.07380983421262327,829,117,4.875750956053446,0.18732438265931683,0.6075681479967191,COMPLETE
14,0.9217227449923641,2026-02-06 13:16:46.786602,2026-02-06 13:18:47.560448,0 days 00:02:00.773846,0.9189706937448473,0.036489634039289294,9,101,0.09256624749489603,1066,134,0.04284729624459914,0.07485958842934955,0.7150602435406471,COMPLETE
