number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9206962386182601,2026-02-06 14:40:40.081955,2026-02-06 14:44:16.674851,0 days 00:03:36.592896,0.8803345035229626,0.31203728088487304,0.06359848890377333,7,5.059143643296369,924,2.275053705838343e-07,3.4692645551781304e-08,0.9598528437324805,COMPLETE
1,0.9206991012998588,2026-02-06 14:44:16.679640,2026-02-06 14:48:31.496957,0 days 00:04:14.817317,0.8574269294896714,0.4246782213565523,0.010408686202776001,8,9.52858721704024,1392,3.8167167932852713e-07,5.079849520995651e-07,0.7912726728878613,COMPLETE
2,0.9202891554748629,2026-02-06 14:48:31.500000,2026-02-06 14:51:03.454782,0 days 00:02:31.954782,0.7599021346475079,0.5842892970704363,0.01762451503554604,6,1.459007452373112,1005,1.5380508198654967e-05,0.00017455030150754618,0.935552788417904,COMPLETE
3,0.9189780658624083,2026-02-06 14:51:03.461118,2026-02-06 14:52:49.113434,0 days 00:01:45.652316,0.9425192044349383,0.34104824737458306,0.031670023893135654,3,5.182367293641892,1120,3.680288427995146e-08,6.6928770111304505,0.9896896099223678,COMPLETE
4,0.9196362479956168,2026-02-06 14:52:49.119976,2026-02-06 14:55:09.328376,0 days 00:02:20.208400,0.777633994480005,0.24407646968955765,0.0120932355511462,7,3.293513898890987,826,0.00020301544896936946,2.088568224702048e-08,0.9727961206236346,COMPLETE
5,0.9209220690656703,2026-02-06 14:55:09.332368,2026-02-06 14:58:42.283098,0 days 00:03:32.950730,0.9684482051282947,0.3697089110510541,0.018341143951012818,6,4.395225692486302,1328,2.7188646839841217,0.1620069480576145,0.9818496824692567,COMPLETE
6,0.9212013036113149,2026-02-06 14:58:42.286972,2026-02-06 15:00:49.087272,0 days 00:02:06.800300,0.9486212527455788,0.09045457782107613,0.0601276332111238,3,1.7001754132211084,1237,6.761433621262241e-06,4.121915932933171e-05,0.7814047095321688,COMPLETE
7,0.9197770084787862,2026-02-06 15:00:49.091323,2026-02-06 15:02:59.357271,0 days 00:02:10.265948,0.7596147044602517,1.6043939615080793,0.017274966088532233,6,1.464669875006066,899,4.4515762138233186e-08,15.103061805857253,0.9316734307889972,COMPLETE
8,0.9207553038590758,2026-02-06 15:02:59.360924,2026-02-06 15:04:09.813121,0 days 00:01:10.452197,0.958931027762678,1.5425406933718915,0.048881537198701294,7,7.200770311577639,407,4.406687000612437e-08,2.1582437583712308e-05,0.7347607178575388,COMPLETE
9,0.9176729492606617,2026-02-06 15:04:09.818006,2026-02-06 15:06:29.709016,0 days 00:02:19.891010,0.8416644775485848,0.6503666440534941,0.01903887455018873,3,2.3213658452816888,1273,0.022224001634839095,0.008510227402022112,0.9661638227728979,COMPLETE
10,0.9217016908474198,2026-02-06 15:06:29.712432,2026-02-06 15:09:45.545015,0 days 00:03:15.832583,0.9006773221177302,1.1312261813628064,0.03821889911221937,4,1.0498440831138993,1735,1.4028305189714516e-05,3.0883372309465833e-06,0.8177358676307896,COMPLETE
11,0.9218439019483642,2026-02-06 15:09:45.548612,2026-02-06 15:13:04.495592,0 days 00:03:18.946980,0.9119890328951873,1.111004036071248,0.03973614050412058,4,1.0742074789109608,1796,1.762714769696158e-05,7.213981211200699e-06,0.8416413088859965,COMPLETE
12,0.9216108198455648,2026-02-06 15:13:04.498693,2026-02-06 15:16:15.128373,0 days 00:03:10.629680,0.9006758602574366,1.1279186643462558,0.03514082977175074,4,1.0349772405263578,1754,0.0027261444123623467,1.34434293091691e-06,0.8706652958242844,COMPLETE
13,0.9217059930420479,2026-02-06 15:16:15.131809,2026-02-06 15:19:27.258997,0 days 00:03:12.127188,0.8169948016535982,1.1422187337382834,0.035565614906293536,4,1.009355719670482,1795,1.4817296787683902e-05,1.7648576315753429e-06,0.8524577984115923,COMPLETE
14,0.9208661747345683,2026-02-06 15:19:27.262564,2026-02-06 15:22:18.358993,0 days 00:02:51.096429,0.8117302733652322,1.9915900740477683,0.026569205842480795,4,14.839076544461346,1549,0.00041709214274711164,0.0025863236278143523,0.8580562733984881,COMPLETE
